CRIT;C1;C2;C3;C4;C5;C6;C7;C8;C9;C10;C11;C12
BC;1;1;1;1;1;-1;-1;-1;1;-1;1;-1
A1;78;88;80;85;75;17;210;1.8;88;7.5;92;12
A2;85;82;72;88;80;13;190;2.2;80;9;98;8
A3;75;90;78;92;82;12;220;1.5;90;6.5;96;11
A4;79;84;79;89;76;16;215;1.7;84;7.2;91;13
A5;81;89;81;87;73;18;225;1.9;82;8.1;97;7
A6;77;83;77;94;85;10;195;2.5;93;5.8;99;6
A7;86;87;76;86;79;11;230;1.6;91;6.9;93;14
A8;74;81;73;95;74;15;180;3;89;5.5;100;5
A9;88;90;82;90;81;12;200;1.8;87;7.3;92;12
A10;79;85;70;88;77;16;210;2.1;85;6.8;95;10
A11;76;88;76;93;80;14;220;1.5;92;5.9;98;7
A12;72;86;75;91;72;17;240;1.9;90;7.1;97;11
A13;84;81;73;89;83;11;235;1.8;88;6.3;99;9
A14;78;84;74;96;76;13;215;2;86;6.7;94;10
A15;80;88;80;85;75;15;220;1.6;91;7.4;93;12
A16;75;90;78;92;82;12;230;1.5;90;6.5;96;11
